code;name
002;BANK BRI
014;BANK BCA
008;BANK MANDIRI
009;BANK BNI
427;BANK BNI SYARIAH
451;BANK SYARIAH MANDIRI (BSM)
022;BANK CIMB NIAGA
022;BANK CIMB NIAGA SYARIAH
147;BANK MUAMALAT
213;BANK BTPN
547;BANK BTPN SYARIAH
213;JENIUS
422;BANK BRI SYARIAH
200;BANK BTN
013;BANK PERMATA
011;BANK DANAMON
016;BANK BII MAYBANK
426;BANK MEGA
153;BANK SINARMAS
950;BANK COMMONWEALTH
028;BANK OCBC NISP
441;BANK BUKOPIN
521;BANK BUKOPIN SYARIAH
536;BANK BCA SYARIAH
026;BANK LIPPO
031;CITIBANK
789;INDOSAT DOMPETKU
911;TELKOMSEL TCASH
911;LINKAJA
